,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os05g0143400,1686,1356,1936,1794
Os05g0143500,5367,4082,6494,5304
Os05g0143550,7,5,8,6
Os05g0143600,6,4,8,2
Os05g0143700,232,267,342,468
Os05g0143800,155,166,250,395
Os05g0144000,1441,902,1559,1274
Os05g0144100,2702,3829,3344,6292
Os05g0144200,620,589,660,813
Os05g0144150,0,0,0,0
Os05g0144300,4634,5479,5374,7782
Os05g0144400,8570,8733,10522,12850
Os05g0144800,1107,1117,1285,1575
Os05g0144900,891,1289,1290,1999
Os05g0145000,831,1210,1129,2108
Os05g0145100,14,19,40,67
Os05g0145300,901,659,841,652
Os05g0145400,230,278,327,445
Os05g0145500,0,0,1,1
Os05g0145600,2913,2460,2937,2462
Os05g0145650,4,5,1,6
Os05g0145700,257,280,280,329
Os05g0145900,660,637,891,997
Os05g0146100,28,28,45,44
Os05g0146900,1749,1867,2081,2625
Os05g0147100,530,467,649,634
Os05g0147116,0,0,0,0
Os05g0147133,342,247,377,278
Os05g0147150,643,514,587,482
Os05g0147200,1356,1131,1452,1204
Os05g0147300,191,163,239,251
Os05g0147400,11179,6522,10275,6101
Os05g0147500,8497,4128,8753,4088
Os05g0147550,46,39,50,25
Os05g0147600,35,25,50,32
Os05g0147650,39,88,62,136
Os05g0147700,0,0,0,0
Os05g0147800,2,0,0,0
Os05g0147901,0,0,0,0
Os05g0148000,17,16,12,26
Os05g0148300,1141,771,1165,703
Os05g0148400,0,0,0,2
Os05g0148500,77,44,78,97
Os05g0148600,3583,3732,4377,5110
Os05g0148700,1055,2642,1261,3432
Os05g0148800,332,345,563,577
Os05g0148900,50,40,44,58
Os05g0148950,43,21,31,35
Os05g0149000,0,2,1,2
Os05g0149100,0,0,0,0
Os05g0149200,598,739,865,1322
Os05g0149251,529,378,990,840
Os05g0149300,1332,300,1991,1164
Os05g0149400,2076,615,2458,1126
Os05g0149450,0,0,1,2
Os05g0149500,263,111,335,185
Os05g0149600,15942,19124,19781,29512
Os05g0149800,1779,2073,2630,3029
Os05g0149701,0,0,2,0
Os05g0149850,1,1,1,0
Os05g0149900,1693,1377,2211,1897
Os05g0149950,0,0,0,0
Os05g0150000,2641,2352,3069,3118
Os05g0150100,2,0,4,0
Os05g0150300,8648,9025,9680,12381
Os05g0150400,1795,2159,1966,3183
Os05g0150500,2121,2585,2238,3987
Os05g0150550,2,2,3,3
Os05g0150600,1287,1475,1473,1882
Os05g0150733,62,40,130,133
Os05g0150800,6141,3457,9194,4775
Os05g0150900,4273,2987,3824,3517
Os05g0151000,237,137,258,159
Os05g0151100,0,2,0,0
Os05g0151150,0,0,0,1
Os05g0151200,0,240,6,534
Os05g0151300,4085,5560,6484,12363
Os05g0151400,15925,17516,17426,21920
Os05g0151700,324,250,338,207
Os05g0152201,1684,1215,1669,1438
Os05g0152266,83,46,57,27
Os05g0152366,259,173,214,163
Os05g0152400,784,781,994,1196
Os05g0152600,0,0,0,0
Os05g0152700,0,0,0,0
Os05g0152900,2,0,0,2
Os05g0153000,3748,1850,4172,1954
Os05g0153132,0,0,0,2
Os05g0153200,26,30,27,37
Os05g0153300,271,156,614,370
Os05g0153400,207,157,221,157
Os05g0153500,79,145,196,292
Os05g0153901,67,136,119,233
Os05g0154300,0,0,0,0
Os05g0154500,1333,1046,1432,1052
Os05g0154600,4650,4431,5928,6279
Os05g0154700,10008,7049,10963,9211
Os05g0154800,272,269,328,354
Os05g0154850,1,0,0,0
Os05g0154900,809,641,926,932
Os05g0155000,47,20,48,24
Os05g0155100,1933,1448,1711,1315
Os05g0155050,1,1,1,0
Os05g0155200,1241,912,1213,1353
Os05g0155250,0,0,1,1
Os05g0155300,2627,2435,2998,3018
Os05g0155400,938,976,1776,1781
Os05g0155450,2,0,1,2
Os05g0155601,21437,18491,22262,23972
Os05g0155700,1338,1691,1890,2414
Os05g0155800,4,22,8,66
Os05g0156200,299,308,485,490
Os05g0156300,22889,14282,22442,15457
Os05g0156401,2068,1376,2303,1639
Os05g0156500,5190,3673,5347,4214
Os05g0156600,3808,2859,4286,3493
Os05g0156700,2809,1906,3082,2112
Os05g0156800,7736,9498,8952,13299
Os05g0156900,1,0,2,2
Os05g0157000,0,0,0,1
Os05g0157100,1740,2014,2512,3296
Os05g0157200,3763,4413,4428,5743
Os05g0157300,682,580,767,754
Os05g0157500,429,517,638,917
Os05g0157600,94,58,85,77
Os05g0157901,0,8,2,1
Os05g0158200,298,241,279,270
Os05g0158400,534,650,764,981
Os05g0158500,2302,750,3156,995
Os05g0158600,207,215,209,319
Os05g0158700,164,120,201,248
Os05g0159000,7038,7500,8294,10825
Os05g0159100,5911,3670,5833,4338
Os05g0159200,3105,2754,3560,4090
Os05g0159250,1,0,1,2
Os05g0159300,3288,1185,3196,1571
Os05g0159400,0,0,0,0
Os05g0159501,15,1,15,11
Os05g0159850,0,0,0,0
Os05g0160000,1272,1091,1233,1382
Os05g0160100,4025,4589,5061,7454
Os05g0160200,22833,14138,21691,15416
Os05g0160300,7683,9397,9731,15165
Os05g0160600,1250,1570,1476,1661
Os05g0160800,489,124,453,120
Os05g0161100,21,4,21,20
Os05g0161200,819,763,1157,1109
Os05g0161400,442,387,603,522
Os05g0161500,205,20,195,48
Os05g0161700,2,0,0,1
Os05g0161800,74,24,72,46
Os05g0162000,2904,3664,3716,9090
Os05g0162200,313,278,342,456
Os05g0162350,1,1,0,3
Os05g0162500,799,1203,1086,1627
Os05g0162600,211,228,172,247
Os05g0162800,66,20,151,17
Os05g0163050,0,0,0,4
Os05g0163000,60,67,79,79
Os05g0163100,1423,1192,1606,1776
Os05g0163200,1982,2343,2159,3742
Os05g0163250,2782,3204,2804,4556
Os05g0163300,728,236,1696,497
Os05g0163400,5973,8871,7753,15295
Os05g0163500,7,50,14,106
Os05g0163600,7,13,14,15
Os05g0163700,5873,12097,6509,23701
Os05g0163900,46,48,27,211
Os05g0164000,0,0,0,0
Os05g0164100,12722,6340,20859,8576
Os05g0164200,55,24,100,50
Os05g0164800,1488,1619,2461,3096
Os05g0164900,1062,934,998,1243
Os05g0165200,53,32,73,73
Os05g0165400,1277,1001,1497,1399
Os05g0165450,16,11,5,9
Os05g0165500,501,505,687,739
Os05g0165800,368,397,655,723
Os05g0165900,1001,1245,1563,1279
Os05g0166300,625,320,635,267
Os05g0166450,74,73,141,155
Os05g0166525,0,0,0,1
Os05g0166600,3,1,3,1
Os05g0166833,7,0,0,0
Os05g0166900,2,0,6,2
Os05g0167300,34,3,21,0
Os05g0167600,425,230,297,186
Os05g0168200,7,11,10,8
Os05g0168300,3158,3298,3581,4739
Os05g0168400,2036,1862,2443,2554
Os05g0168500,15198,8499,14838,10534
Os05g0168700,9896,6136,11086,8058
Os05g0168800,2285,1946,2482,3013
Os05g0169000,3856,4548,5819,6717
Os05g0169100,37169,42583,36430,49941
Os05g0169200,130,622,173,702
Os05g0169300,0,38,4,52
Os05g0169400,1485,2032,1851,3292
Os05g0169450,0,0,0,0
Os05g0169500,355,328,449,443
Os05g0169700,85,54,152,145
Os05g0169600,169,150,140,254
Os05g0169701,0,0,0,0
Os05g0169900,16,16,26,20
Os05g0169800,1,1,2,1
Os05g0170000,1460,873,1605,1096
Os05g0170200,58,455,38,1065
Os05g0170300,0,2,1,1
Os05g0170250,1,0,6,2
Os05g0170600,35,14,28,22
Os05g0170700,0,0,0,0
Os05g0170800,2985,4324,3126,4899
Os05g0170950,229,429,337,722
Os05g0171000,0,0,0,0
Os05g0171050,0,0,0,0
Os05g0171200,121,841,244,1975
Os05g0171300,825,1077,1001,1837
Os05g0171900,567,2561,1189,6103
Os05g0172000,16,11,6,16
Os05g0172100,427,549,573,925
Os05g0172300,848,477,737,419
Os05g0172400,4,5,5,5
Os05g0172500,302,238,262,242
Os05g0172800,4,60,6,110
Os05g0173500,640,576,720,815
Os05g0173700,433,478,638,697
Os05g0173800,0,0,0,2
Os05g0175450,0,2,1,0
Os05g0175800,68,75,55,143
Os05g0176000,1798,1033,1217,772
Os05g0176050,3,3,3,0
Os05g0176100,61107,24215,62504,28006
Os05g0176300,199,140,250,285
Os05g0176400,92,80,178,131
Os05g0176500,708,452,636,584
Os05g0176600,927,1345,1035,1975
Os05g0176700,1744,2997,4285,6923
Os05g0176800,2,2,4,2
Os05g0176901,0,0,0,0
Os05g0177000,230,204,233,247
Os05g0177100,853,811,1038,1029
Os05g0177400,84,73,64,62
Os05g0177500,6,8,6,9
Os05g0177800,97,59,117,104
Os05g0177900,0,2,4,1
Os05g0178000,0,0,0,0
Os05g0178100,0,0,0,0
Os05g0178300,9714,10379,15035,15147
Os05g0178400,2585,2051,3185,2983
Os05g0178600,3532,4794,4365,5465
Os05g0178900,356,375,495,780
Os05g0178950,0,0,0,0
Os05g0179000,443,508,647,648
Os05g0179050,0,0,0,0
Os05g0179100,166,517,592,1562
Os05g0179300,706,901,973,1637
Os05g0179450,1,3,1,0
Os05g0179800,2988,4819,3392,7688
Os05g0179900,5,2,9,6
Os05g0179950,506,982,1316,2902
Os05g0180300,1565,756,2220,1160
Os05g0180400,763,612,717,755
Os05g0180500,484,286,549,603
Os05g0180600,3850,5367,4686,7908
Os05g0180700,498,452,722,607
Os05g0181000,736,623,795,956
Os05g0181100,0,0,0,0
Os05g0181200,10,105,45,477
Os05g0181250,729,529,864,744
Os05g0181300,342,265,438,268
Os05g0181650,83,204,90,197
Os05g0181700,1618,950,2146,1202
Os05g0181902,12,4,17,5
Os05g0182000,227,186,298,305
Os05g0182100,3,4,2,3
Os05g0182150,0,0,0,0
Os05g0182201,742,587,759,823
Os05g0182500,2997,2621,3979,3808
Os05g0182550,8,3,8,6
Os05g0182600,613,816,513,927
Os05g0182650,0,0,1,0
Os05g0182700,6299,7006,7906,11008
Os05g0182800,4195,3780,3844,4105
Os05g0182900,1071,1281,1322,2127
Os05g0183100,3311,2588,3346,3697
Os05g0183300,2,7,2,7
Os05g0183900,3,0,6,0
Os05g0184016,0,0,0,0
Os05g0184250,0,0,0,0
Os05g0184500,0,0,0,0
Os05g0185767,0,0,0,0
Os05g0184901,115,12,181,30
Os05g0185525,197,195,299,282
Os05g0185650,511,500,624,668
Os05g0185700,1772,2150,2568,3498
Os05g0185800,3199,4137,4357,7175
Os05g0186000,4071,2096,5954,2565
Os05g0186100,95,93,135,175
Os05g0186300,671,1092,833,999
Os05g0186601,0,0,0,0
Os05g0186900,406,530,518,1146
Os05g0187000,8571,7280,10109,10229
Os05g0187100,1127,1480,1432,2053
Os05g0187500,138,108,213,175
Os05g0187800,2398,2836,2935,3644
Os05g0188100,6772,10562,11756,16568
Os05g0188300,110,120,115,141
Os05g0188500,8077,7412,9811,10457
Os05g0188600,3300,3216,3790,4975
Os05g0188700,13,9,27,23
Os05g0188750,0,0,0,0
Os05g0188800,454,401,610,510
Os05g0189300,6967,3355,9835,3607
Os05g0189425,26,25,53,41
Os05g0189900,2740,613,2773,374
Os05g0190000,370,309,846,691
Os05g0190300,19127,9850,26785,10447
Os05g0190500,16160,9288,22209,5426
Os05g0191500,2521,1347,5955,3850
Os05g0191700,1303,450,1939,713
Os05g0191800,122,50,187,43
Os05g0192100,1694,455,2531,1158
Os05g0192200,5,0,3,2
Os05g0192700,1119,1930,2871,4874
Os05g0192500,6,10,10,10
Os05g0193600,204,307,254,519
Os05g0193700,402,477,590,1008
Os05g0193800,1545,1456,2189,2221
Os05g0193900,118,103,129,65
Os05g0194000,448,336,450,587
Os05g0194500,332,1661,445,2284
Os05g0194550,124,227,390,666
Os05g0194600,1915,1493,1969,1621
Os05g0194900,450,550,472,686
Os05g0195000,25,57,21,61
Os05g0195101,480,2433,686,4388
Os05g0195200,309,1418,724,4902
Os05g0195500,0,0,0,0
Os05g0195700,1297,2382,1725,4200
Os05g0195901,653,1316,1636,3584
Os05g0196100,4346,8384,4881,14583
Os05g0196200,88,99,104,199
Os05g0196250,1,0,0,0
Os05g0196400,1608,4056,2490,7080
Os05g0196500,5360,6554,6541,9290
Os05g0196600,4,8,2,8
Os05g0196700,0,0,0,0
Os05g0196800,2434,2869,3283,4007
Os05g0197200,50,56,104,116
Os05g0197300,423,412,410,705
Os05g0197500,0,0,0,0
Os05g0197900,13,6,21,8
Os05g0198000,4,2,2,3
Os05g0198100,0,0,0,0
Os05g0198200,896,1463,813,1746
Os05g0198400,1730,1245,1866,1933
Os05g0198700,428,569,536,745
Os05g0198950,0,0,0,0
Os05g0199100,939,503,1601,818
Os05g0199500,806,414,877,599
Os05g0199700,0,2,0,0
Os05g0199800,2,1,6,4
Os05g0200100,1764,1178,2399,1545
Os05g0200160,3,3,16,12
Os05g0200280,1264,1671,1879,3126
Os05g0200340,17,4,12,13
Os05g0200400,1093,846,1286,912
Os05g0200500,1232,1321,1718,2399
Os05g0200601,0,0,0,0
Os05g0200700,52,53,96,151
Os05g0201300,0,0,1,0
Os05g0201333,0,0,0,0
Os05g0201700,47,3,46,14
Os05g0202200,0,0,0,0
Os05g0202300,39,22,43,38
Os05g0202500,2878,3233,4652,5564
Os05g0202550,19,3,11,12
Os05g0202600,0,0,1,0
Os05g0202800,9761,5091,9676,9134
Os05g0203000,0,0,0,0
Os05g0203300,0,0,0,0
Os05g0203400,0,0,0,0
Os05g0203500,0,0,0,0
Os05g0203800,78,95,86,39
Os05g0203900,1356,584,1726,893
Os05g0203912,86,66,138,69
Os05g0204163,0,0,0,0
Os05g0204600,380,151,764,387
Os05g0204900,3706,2433,3442,2667
Os05g0204950,1,0,1,0
Os05g0205000,488,561,625,1100
Os05g0205050,473,607,607,1041
Os05g0205100,109,41,206,36
Os05g0205400,107,34,44,74
Os05g0206000,4,106,42,136
Os05g0206100,36,521,21,867
Os05g0206200,187,195,299,353
Os05g0206600,10,5,10,22
Os05g0206800,50,49,95,118
Os05g0207200,46,40,47,40
Os05g0207300,275,211,244,140
Os05g0207350,0,0,1,1
Os05g0207400,166,70,140,138
Os05g0207500,421,409,448,491
Os05g0207600,0,2,0,0
Os05g0207700,772,555,707,634
Os05g0207900,8350,10707,10567,15680
Os05g0208000,5519,2621,5643,3293
Os05g0208050,3,2,3,4
Os05g0208100,6,4,8,1
Os05g0208550,34,105,76,120
Os05g0208500,5697,3807,7112,5331
Os05g0208600,0,0,0,0
Os05g0209000,230,414,486,552
Os05g0209100,3475,2851,3856,3832
Os05g0209200,2,1,0,2
Os05g0209301,0,0,0,0
Os05g0209400,903,843,1002,1368
Os05g0209500,1184,1059,1599,1506
Os05g0209600,530,1623,1138,4861
Os05g0209683,1,5,0,8
Os05g0209950,0,0,0,0
Os05g0210100,817,403,1253,950
Os05g0210201,0,0,0,8
Os05g0210400,1,1,0,0
Os05g0210450,0,0,0,0
Os05g0210500,647,193,667,196
Os05g0210525,18,11,43,41
Os05g0210600,3846,1815,4004,1578
Os05g0210700,4,2,0,0
Os05g0211100,71,101,118,512
Os05g0212100,91,43,80,47
Os05g0212150,0,0,0,0
Os05g0212200,816,1098,1091,1822
Os05g0212250,0,0,0,0
Os05g0212300,5,3,5,7
Os05g0212350,0,0,0,0
Os05g0212400,2042,2084,2312,2828
Os05g0212550,4,0,2,0
Os05g0212600,0,0,0,0
Os05g0212750,0,0,0,0
Os05g0212900,12,2,6,0
Os05g0213000,0,0,0,0
Os05g0213100,0,0,0,0
Os05g0213150,0,0,0,0
Os05g0213500,3735,4542,4618,5311
Os05g0213900,332,184,412,229
Os05g0214100,2761,3212,4122,6515
Os05g0214232,19,12,16,20
Os05g0214300,821,662,350,422
Os05g0214400,95,45,80,50
Os05g0214800,21,20,34,42
Os05g0214900,1094,752,1078,733
Os05g0215000,1394,828,1593,1068
Os05g0215033,177,104,240,105
Os05g0215066,0,0,0,0
Os05g0215183,0,1,4,0
Os05g0215300,196,101,194,121
Os05g0215500,116,49,61,47
Os05g0215600,1941,1575,2362,2183
Os05g0215700,1030,2297,1934,3784
Os05g0215800,2480,1700,2841,1946
Os05g0216950,77,37,99,64
Os05g0217000,746,192,1094,135
Os05g0217700,6387,3872,6861,8933
Os05g0217800,824,503,1489,1025
Os05g0217900,5,6,5,7
Os05g0217950,4,2,0,0
Os05g0218001,0,0,0,0
Os05g0218100,4,7,18,15
Os05g0218400,2035,1670,2920,2397
Os05g0218663,1,0,3,3
Os05g0218981,8,2,6,0
Os05g0219300,0,0,0,0
Os05g0219800,224,92,247,130
Os05g0219900,129,34,209,114
Os05g0220100,3266,2699,3814,3756
Os05g0220300,0,0,0,0
Os05g0220500,3,1,23,4
Os05g0220600,580,456,762,611
Os05g0220900,1244,1328,1563,2193
Os05g0221200,218,352,413,570
Os05g0221400,4107,4866,5152,7436
Os05g0221900,0,0,0,4
Os05g0222200,6970,4879,8342,6932
Os05g0223000,1807,2029,4358,3508
Os05g0223100,0,0,0,0
Os05g0223200,33,24,57,58
Os05g0223300,41,30,60,95
Os05g0224700,18,5,57,25
Os05g0224800,2970,3764,4115,5869
Os05g0224900,2718,2681,3606,4281
Os05g0225500,0,0,0,0
Os05g0225800,0,0,0,0
Os05g0226000,0,0,0,0
Os05g0226300,1003,437,1164,525
Os05g0226900,1440,1079,1701,1785
Os05g0227100,0,2,4,11
Os05g0227600,72768,36250,115772,63067
Os05g0227700,10531,7806,10326,8830
Os05g0227800,367,360,413,450
Os05g0227901,1,7,4,10
Os05g0228000,13,42,44,75
Os05g0228400,1254,1709,1292,2532
Os05g0228900,0,0,0,0
Os05g0229000,1397,1331,1642,2066
Os05g0229475,346,322,478,618
Os05g0229950,0,0,0,0
Os05g0230501,0,0,0,0
Os05g0230600,15953,12596,17321,16268
Os05g0230700,27794,19395,35672,22568
Os05g0230900,7079,6225,8721,8029
Os05g0231100,850,607,673,640
Os05g0231600,25,42,9,24
Os05g0231700,8571,13992,8765,13954
Os05g0231900,6,2,0,0
Os05g0232200,886,665,1317,788
Os05g0232500,1443,1543,1604,2243
Os05g0232566,1,1,3,3
Os05g0232632,0,0,0,0
Os05g0232700,343,252,360,291
Os05g0232800,2,0,4,0
Os05g0233000,113,139,199,152
Os05g0234366,2,2,1,0
Os05g0235300,17959,17822,21961,26250
Os05g0235450,4,1,0,1
Os05g0235600,0,0,0,0
Os05g0235701,0,0,0,0
Os05g0235800,2159,732,2460,749
Os05g0236600,65,52,115,79
Os05g0237100,1297,1375,1718,1793
Os05g0237200,160,68,192,90
Os05g0237400,10,11,9,9
Os05g0237501,0,0,0,0
Os05g0237800,6,23,38,178
Os05g0238000,0,0,0,0
Os05g0238200,4546,5472,6751,8914
Os05g0238400,169,93,273,163
Os05g0239100,94,62,98,79
Os05g0239151,2096,1428,1734,1353
Os05g0239350,57,25,54,41
Os05g0239400,3,3,0,28
Os05g0239900,307,196,358,309
Os05g0240200,5635,4917,7615,7745
Os05g0241000,3317,2965,3906,4579
Os05g0241100,287,269,380,334
Os05g0241150,0,0,1,1
Os05g0241200,223,106,264,153
Os05g0241300,37,24,47,50
Os05g0241400,394,265,393,366
Os05g0242000,7,46,11,62
Os05g0242400,0,0,0,0
Os05g0242600,1,0,6,6
Os05g0243100,325,199,288,150
Os05g0243200,1869,1172,2283,1259
Os05g0243300,4587,3940,4699,4767
Os05g0244500,2275,1410,2510,1789
Os05g0244600,1308,1064,1274,1390
Os05g0244700,10,174,34,339
Os05g0244800,0,0,1,2
Os05g0244900,15,4,9,9
Os05g0245300,510,693,968,1372
Os05g0245700,140,144,141,286
Os05g0246200,0,0,0,0
Os05g0246300,215,306,76,359
Os05g0246450,0,0,0,0
Os05g0246600,319,219,373,343
Os05g0247100,18682,73871,34500,171107
Os05g0247400,1,2,2,4
Os05g0247800,138,1112,157,2801
Os05g0247900,1749,1853,2083,2442
Os05g0248200,0,10,4,23
Os05g0248301,2,4,5,1
Os05g0249100,0,0,0,0
Os05g0249500,0,10,0,3
Os05g0249800,20,6,11,10
Os05g0250000,2,0,1,0
Os05g0250200,0,6,0,0
Os05g0250500,1,2,1,1
Os05g0250600,0,0,12,0
Os05g0250700,42,47,65,96
Os05g0250866,0,0,0,0
Os05g0251200,0,4,5,4
Os05g0251400,120,60,79,46
Os05g0251500,3770,2770,4182,3375
Os05g0251700,0,0,0,0
Os05g0251900,0,0,0,0
Os05g0252000,0,0,0,0
Os05g0252050,0,0,0,0
Os05g0252100,69,99,122,145
Os05g0252250,0,0,0,0
Os05g0252701,0,0,0,0
Os05g0252801,2,0,0,2
Os05g0253100,1,11,4,9
Os05g0253200,1004,2366,2571,3463
Os05g0253301,0,0,0,0
Os05g0253700,108,24,162,62
Os05g0255600,2818,2379,3221,3092
Os05g0255800,654,489,692,648
Os05g0256000,4758,3181,4119,3671
Os05g0256100,2419,1964,3488,3202
Os05g0256250,1,0,0,0
Os05g0256350,1,0,2,2
Os05g0256500,2275,1950,3292,3021
Os05g0256801,0,0,0,1
Os05g0257100,1646,2101,1938,2938
Os05g0257333,773,936,951,1383
Os05g0258000,0,0,0,0
Os05g0258400,1451,1520,2043,3036
Os05g0258501,0,0,0,0
Os05g0259601,0,0,0,0
Os05g0261001,372,774,351,909
Os05g0261700,939,1725,940,2276
Os05g0263100,11,10,11,35
Os05g0263301,0,0,0,0
Os05g0263500,495,337,528,401
Os05g0264200,75,63,125,78
Os05g0266900,0,0,0,0
Os05g0267100,637,880,696,884
Os05g0267732,0,1,0,2
Os05g0267766,0,1,0,2
Os05g0267800,1076,1907,1050,2871
Os05g0267850,0,0,0,0
Os05g0267900,206,254,234,530
Os05g0268500,1325,1620,1771,2741
Os05g0268400,1,20,4,25
Os05g0269000,235,604,573,1028
Os05g0269100,2015,4349,3282,8921
Os05g0269200,34,6,36,6
Os05g0269500,340,454,667,965
Os05g0270000,260,159,187,110
Os05g0270200,5227,4863,6494,7401
Os05g0270400,590,565,853,1102
Os05g0270500,2,0,4,0
Os05g0270800,14,14,18,22
Os05g0270850,27,25,40,21
Os05g0270875,8,6,8,10
Os05g0271300,356,265,329,271
Os05g0271900,315,177,260,150
Os05g0272200,127,60,180,139
Os05g0272400,20,10,78,29
Os05g0272300,0,0,0,0
Os05g0272632,0,0,0,0
Os05g0272800,1336,826,1772,1349
Os05g0272900,699,571,755,862
Os05g0273500,591,1094,907,1490
Os05g0273800,1114,567,1660,1019
Os05g0274200,1398,837,1403,1023
Os05g0274300,1831,2000,2146,2948
Os05g0274900,6788,4360,6531,4479
Os05g0274950,25,51,73,54
Os05g0275000,1637,775,2246,978
Os05g0275100,726,594,868,879
Os05g0275600,502,595,667,936
Os05g0275700,1119,954,1286,1265
Os05g0276100,0,0,0,0
Os05g0276500,161,110,167,150
Os05g0276750,0,0,0,0
Os05g0277000,50,45,84,86
Os05g0277100,0,0,0,0
Os05g0277200,197,204,250,247
Os05g0277300,2513,2011,2682,2325
Os05g0277350,0,0,0,0
Os05g0277500,521,237,775,459
Os05g0278150,0,0,0,0
Os05g0278500,1397,1391,1486,2097
Os05g0278550,0,0,0,0
Os05g0278950,0,0,0,0
Os05g0279300,639,566,880,829
Os05g0279400,3916,5013,4975,8054
Os05g0279600,1118,866,1344,1212
Os05g0279750,0,0,0,0
Os05g0279850,0,0,8,5
Os05g0279900,1,0,0,0
Os05g0280200,6,2,9,5
Os05g0280350,1560,812,1555,899
Os05g0280500,229,345,400,593
Os05g0280600,0,0,0,0
Os05g0280700,11,2,6,2
Os05g0281400,648,697,995,1155
Os05g0282900,130,120,101,46
Os05g0283000,0,0,0,0
Os05g0283200,0,0,0,0
Os05g0285900,404,328,501,564
Os05g0286100,192,159,179,226
Os05g0287800,3481,5633,4437,7154
Os05g0289100,0,2,0,0
Os05g0289400,4881,5487,5718,8315
Os05g0289700,0,0,0,0
Os05g0290000,0,0,0,0
Os05g0290300,4,4,4,7
Os05g0290400,0,0,0,0
Os05g0291600,0,2,4,2
Os05g0291700,9180,2872,14258,3937
Os05g0292200,4514,3982,5187,6349
Os05g0292800,2986,1231,4824,1704
Os05g0293500,0,1,0,3
Os05g0293600,1,0,2,0
Os05g0294600,1234,1321,1500,1532
Os05g0294800,1453,1456,2164,1967
Os05g0295100,1882,1529,1783,1571
Os05g0295200,1181,806,1522,1163
Os05g0295300,37991,20762,39270,23692
Os05g0295500,0,0,0,0
Os05g0295700,2046,2581,2942,4503
Os05g0295800,4597,3908,5293,5212
Os05g0295900,1383,1016,1033,659
Os05g0296200,0,0,0,0
Os05g0296530,841,734,1742,2050
Os05g0296600,895,912,1089,1588
Os05g0296750,23,18,26,31
Os05g0296800,8,1,3,27
Os05g0296900,2,0,2,4
Os05g0297001,1,0,0,0
Os05g0297300,0,0,0,2
Os05g0297400,0,0,0,0
Os05g0297600,8,17,7,11
Os05g0297800,61,42,90,85
Os05g0297850,12,3,8,5
Os05g0297900,3668,2963,3678,3572
Os05g0298050,0,0,0,0
Os05g0298200,628,769,603,1208
Os05g0298300,0,0,0,0
Os05g0298700,0,0,0,0
Os05g0298800,0,2,2,0
Os05g0298900,305,257,485,605
Os05g0299000,11,40,9,66
Os05g0299101,59,101,45,142
Os05g0299200,0,0,3,0
Os05g0299250,12,19,28,39
Os05g0299300,2354,2218,2412,2754
Os05g0299500,1054,2103,1283,3117
Os05g0299600,238,142,191,120
Os05g0299700,5839,6110,7482,9447
Os05g0300700,2946,2345,3268,3561
Os05g0301500,9690,7471,10347,8231
Os05g0301600,2668,2849,3005,4078
Os05g0301700,11890,10250,13075,12752
Os05g0302300,2917,2329,3063,3089
Os05g0302350,24,12,12,13
Os05g0302400,0,0,0,0
Os05g0302600,506,523,823,811
Os05g0302700,18431,14159,19023,15399
Os05g0302750,0,0,0,0
Os05g0302833,8,5,33,7
Os05g0303000,9187,4717,11238,6367
Os05g0302916,2,0,0,0
Os05g0303700,17,23,17,16
Os05g0304100,990,1103,1252,1621
Os05g0304200,1176,1393,1254,2005
Os05g0304400,5657,5112,5670,5780
Os05g0304501,83,32,124,31
Os05g0304600,1994,766,4449,1334
Os05g0304701,0,1,0,0
Os05g0304800,0,0,0,0
Os05g0304900,406,473,396,740
Os05g0305000,58,89,91,115
Os05g0305100,508,417,513,676
Os05g0305150,3,6,5,13
Os05g0305200,12,21,42,22
Os05g0305300,117,67,97,151
Os05g0305600,1495,1389,2329,2117
Os05g0305700,933,1235,1169,2048
Os05g0305900,5405,5804,6955,7711
Os05g0306000,3267,2802,3601,4313
Os05g0307100,972,772,944,1115
Os05g0307200,161,150,205,198
Os05g0307300,0,0,0,0
Os05g0307400,1942,2312,2794,3521
Os05g0309000,13,6,23,12
Os05g0310500,27962,49065,25035,59828
Os05g0310600,277,304,342,584
Os05g0310750,187,160,250,279
Os05g0310800,433,335,469,566
Os05g0310900,2,2,0,1
Os05g0311000,749,569,848,898
Os05g0311037,2,1,1,2
Os05g0311075,0,1,0,0
Os05g0311225,0,0,0,0
Os05g0311500,1242,2347,1634,3758
Os05g0311550,0,0,0,0
Os05g0311600,4,6,2,0
Os05g0311801,37,35,62,81
Os05g0312000,5022,4810,6416,6702
Os05g0312201,0,5,0,8
Os05g0312500,26,253,36,446
Os05g0312600,271,717,668,1369
Os05g0313100,0,0,0,0
Os05g0313500,7554,7635,10417,12490
Os05g0313600,67,45,79,62
Os05g0313700,44,64,97,80
Os05g0313900,138,110,138,121
Os05g0314100,6200,4367,6885,5013
Os05g0314700,6,132,8,170
Os05g0315100,2003,2359,2603,3169
Os05g0315200,2204,2326,2674,3030
Os05g0315700,0,0,0,0
Os05g0316000,168,186,247,301
Os05g0316050,0,0,1,0
Os05g0316100,546,624,686,834
Os05g0316133,0,0,0,1
Os05g0316200,2687,3566,3820,6418
Os05g0316400,2,0,14,0
Os05g0316800,522,766,703,1150
Os05g0317200,12150,13312,13278,17330
Os05g0317300,484,497,555,616
Os05g0317400,0,0,0,0
