,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os01g0145600,36,49,49,66
Os01g0146101,4,3,10,8
Os01g0146200,17,8,30,24
Os01g0146600,1,1,0,2
Os01g0146801,0,0,0,1
Os01g0147001,0,2,0,3
Os01g0147200,6618,7009,8381,9925
Os01g0147250,110,86,134,177
Os01g0147300,28,3,15,13
Os01g0147400,11,10,22,19
Os01g0147600,6,19,21,40
Os01g0147650,0,2,0,0
Os01g0147700,2907,2426,2981,3117
Os01g0147800,419,251,568,415
Os01g0147850,0,0,0,0
Os01g0147900,142,161,180,169
Os01g0147950,4,3,4,0
Os01g0148000,5100,5284,5973,8285
Os01g0148050,10614,12127,12794,18307
Os01g0148100,1806,1601,2168,2468
Os01g0148200,5,5,14,20
Os01g0148400,1001,929,1104,1179
Os01g0148500,54,76,71,62
Os01g0148700,1906,1431,2029,1759
Os01g0149200,56,97,86,193
Os01g0149350,141,121,147,118
Os01g0149400,2415,1969,3266,2714
Os01g0149500,304,279,329,288
Os01g0149600,2302,1779,2359,2012
Os01g0149700,16,11,12,22
Os01g0149750,0,0,0,0
Os01g0149800,23382,43588,24691,55376
Os01g0149900,1364,1282,1603,1689
Os01g0150000,12157,8062,13612,8013
Os01g0150100,1587,1358,1652,1944
Os01g0150200,3315,1966,4062,2238
Os01g0150400,23,28,47,48
Os01g0150500,9,6,17,3
Os01g0150700,492,469,735,609
Os01g0150800,352,406,465,296
Os01g0150900,30,18,21,24
Os01g0150950,74,39,80,106
Os01g0151100,5246,4872,5654,6381
Os01g0151200,18681,8701,22600,10246
Os01g0151400,666,1184,834,2389
Os01g0151500,759,410,922,680
Os01g0151600,1754,4857,2631,9401
Os01g0151700,2981,2146,3930,2546
Os01g0151750,0,0,0,0
Os01g0151900,320,299,256,222
Os01g0152000,320,118,531,122
Os01g0152050,0,0,0,0
Os01g0152100,4,0,2,4
Os01g0152200,0,0,0,0
Os01g0152300,2033,802,2201,952
Os01g0152500,0,0,0,0
Os01g0152600,604,501,624,750
Os01g0152675,3,1,3,1
Os01g0152687,3,2,9,8
Os01g0152700,2360,2092,2891,2984
Os01g0152800,20,31,23,57
Os01g0152850,0,0,0,0
Os01g0152900,5632,3177,6564,4875
Os01g0152950,604,707,824,1095
Os01g0152951,23,42,61,60
Os01g0153000,2,2,4,4
Os01g0153050,1,1,0,0
Os01g0153100,5081,3597,6038,5180
Os01g0153150,29,45,88,64
Os01g0153200,0,0,0,0
Os01g0153250,19,8,10,12
Os01g0153275,0,0,0,0
Os01g0153300,4789,2216,5685,3403
Os01g0153400,2720,1656,2939,2179
Os01g0153500,0,0,0,0
Os01g0153550,0,0,0,0
Os01g0153600,9,0,1,0
Os01g0153625,0,0,0,0
Os01g0153700,303,154,316,243
Os01g0153800,18,28,30,36
Os01g0153900,0,0,0,0
Os01g0153950,0,0,0,0
Os01g0154000,0,1,5,2
Os01g0154100,0,0,1,0
Os01g0154200,0,0,0,0
Os01g0154250,0,0,0,0
Os01g0154300,8,0,2,0
Os01g0154500,2,0,0,2
Os01g0154550,2,0,0,0
Os01g0154600,105,23,115,29
Os01g0154950,4,3,18,1
Os01g0155000,272,571,357,987
Os01g0155200,38,14,26,30
Os01g0155300,7,17,19,20
Os01g0155400,2644,3480,3241,4345
Os01g0155500,1956,874,2629,1148
Os01g0155600,5332,5729,5931,8297
Os01g0155800,449,1406,446,1437
Os01g0156000,0,1,2,11
Os01g0156300,24,15,31,18
Os01g0157200,0,0,0,0
Os01g0157400,0,0,0,0
Os01g0157500,0,2,2,0
Os01g0157600,0,2,2,0
Os01g0157700,11,5,7,16
Os01g0157800,305,252,272,232
Os01g0157900,5262,6687,6994,9001
Os01g0158000,2502,3234,2935,4819
Os01g0158100,200,141,400,300
Os01g0158200,1502,1665,1737,2297
Os01g0158400,749,700,795,989
Os01g0158500,0,0,0,0
Os01g0158533,0,0,0,0
Os01g0158566,0,0,0,0
Os01g0158600,0,0,0,0
Os01g0158800,0,2,4,2
Os01g0158900,2297,2664,2463,3559
Os01g0159000,6,145,15,149
Os01g0159200,1455,405,1874,666
Os01g0159250,45,13,65,40
Os01g0159300,3703,6087,6068,11892
Os01g0159400,5686,13650,7528,22799
Os01g0159500,0,0,0,0
Os01g0159600,0,17,0,71
Os01g0159800,879,2291,1176,5452
Os01g0160100,122,242,104,349
Os01g0160150,2,3,2,0
Os01g0160200,0,0,0,0
Os01g0160700,58,52,60,76
Os01g0160800,0,0,0,0
Os01g0161000,10,0,42,0
Os01g0161200,16,5,18,11
Os01g0161300,142,81,206,74
Os01g0162001,20,20,18,31
Os01g0162101,0,0,0,0
Os01g0162200,1,2,2,0
Os01g0162300,22,29,34,38
Os01g0162400,26,33,23,52
Os01g0162500,93,505,79,799
Os01g0162701,0,0,0,0
Os01g0162800,0,0,0,0
Os01g0162900,0,0,0,0
Os01g0163000,13,22,12,8
Os01g0163450,11,3,6,1
Os01g0163616,0,0,0,0
Os01g0164075,10,2,11,4
Os01g0164300,1,3,11,4
Os01g0164400,2143,2027,2121,2611
Os01g0164500,1639,1135,1537,1213
Os01g0164600,1444,1418,2107,1637
Os01g0164650,2,3,2,3
Os01g0164700,1385,1313,1628,1660
Os01g0164800,822,543,815,632
Os01g0165000,1199,2661,1538,3781
Os01g0165100,0,3,0,5
Os01g0165200,296,252,364,373
Os01g0165600,12,12,17,32
Os01g0165800,1252,884,1231,926
Os01g0166100,2153,3904,2087,7146
Os01g0166200,66,78,107,118
Os01g0166300,924,916,1038,1061
Os01g0166400,407,250,390,194
Os01g0166500,1300,1770,2440,2912
