"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0467901",1348.39456718785,-1.51711049379261,0.335788721076564,-4.51805078183876,6.24115178420474e-06,6.78198389569197e-05
"Os04g0468000",174.252414884017,-1.58674310091538,0.468887496424657,-3.38405931703138,0.000714225711093027,0.00429081618157777
"Os04g0469000",2563.77467890097,-0.778415850830832,0.202477000217487,-3.84446554420853,0.000120815457991406,0.000923577814238828
"Os04g0469300",600.804243239742,-0.978619561200011,0.385379525341536,-2.53936573390277,0.0111053662511727,0.0424364557038007
"Os04g0469400",472.171924278213,-0.780704351333179,0.315077837356543,-2.4778142375331,0.0132189948492132,0.0488083152367272
"Os04g0469500",789.785857664664,0.942754809885911,0.234391739885577,4.02213324729847,5.76734139356794e-05,0.000483963834816838
"Os04g0470100",4988.00560779593,1.3800381956503,0.194397871265133,7.09903964826914,1.25626769296813e-12,4.88894937793593e-11
"Os04g0471300",1900.9994383825,0.717207947397617,0.178880311790718,4.009429211174,6.08656957134245e-05,0.000506613503429594
"Os04g0472300",297.26893232954,-1.43817287423237,0.280402588302229,-5.1289572002176,2.91351566942321e-07,4.29470218158356e-06
"Os04g0472400",1331.968531812,0.687541571071903,0.200529815477142,3.42862516197883,0.000606646741914916,0.0037343937489162
"Os04g0472600",1411.95167247907,0.807130231830458,0.21601317836531,3.73648606968545,0.000186609782033571,0.00135333892970857
"Os04g0472700",278.769696093849,-1.14980605220389,0.280147379486367,-4.10428987168108,4.05558697165176e-05,0.000355746233211227
"Os04g0473150",33.3532327937364,5.08256023946754,1.44638031078754,3.51398605301821,0.000441435989702803,0.00284594624305138
"Os04g0475600",2046.02718047604,1.72578634209233,0.180971251897187,9.53624580700134,1.48096584575988e-21,1.68325947830836e-19
"Os04g0476100",11570.0230649724,0.957033801104726,0.331204428906522,2.88955617008019,0.00385786078031539,0.0177081047331541
"Os04g0476400",529.306995687678,-1.69088333386092,0.389023004125898,-4.34648675252558,1.38335402219081e-05,0.000138076927999688
"Os04g0476600",188.848392909393,3.35700976280173,0.391557397136933,8.57348063744468,1.00403418448956e-17,7.81858690020879e-16
"Os04g0477900",1300.26954936923,-0.619646448363061,0.213784403219703,-2.89846424262419,0.00374995065931783,0.0173169401988899
"Os04g0479000",179.781487400048,-0.992664066272724,0.311049064007952,-3.19134239943364,0.00141613346413137,0.00771072222111042
"Os04g0479100",2126.38104321233,0.575344899310616,0.183719333840359,3.13165134710621,0.00173826166676799,0.0091259178805855
"Os04g0479200",4400.83460216793,0.756634425318217,0.199375801628133,3.79501634169956,0.000147633731796707,0.0011042556640409
"Os04g0479300",1208.28281851654,0.476220487659048,0.188263303538664,2.52954494427666,0.011421054545815,0.043381167081729
"Os04g0479900",105.24604667359,-2.46048534668502,0.42342698855604,-5.81088455196422,6.21436090835155e-09,1.29879170471103e-07
"Os04g0480050",54.258490861821,-1.4420987720034,0.540237137757659,-2.66938103883244,0.00759911867970719,0.0310070974541673
"Os04g0481000",622.122660638341,0.673038542291978,0.256164925352958,2.62736415363903,0.00860491924126058,0.0343553651620434
"Os04g0481300",317.585482271314,-1.60593719142196,0.337151116742226,-4.76325633128423,1.90493605888212e-06,2.32332612478271e-05
"Os04g0481500",34.9682839274515,-1.85938354249119,0.646276543873142,-2.87707106209964,0.00401385193332655,0.0182640519828198
"Os04g0482800",8876.50331784018,0.580343817381138,0.175945236540074,3.29843438102377,0.000972256013400031,0.00560158716952434
"Os04g0482900",987.506751106,0.998978491904713,0.224051843257792,4.45869347638125,8.24607445030892e-06,8.72287717100005e-05
"Os04g0483500",1003.36606861148,-0.639635103223053,0.234087907330596,-2.73245683861711,0.00628639075226765,0.0266058464574662
"Os04g0484900",3129.84945970936,0.486391900799598,0.178302991531164,2.72789534613381,0.00637398266233662,0.0269040892716516
"Os04g0485300",13262.0874767733,-0.649919247486562,0.240937523903409,-2.69745964413211,0.00698707530697226,0.0290015200387302
"Os04g0485800",6868.40823079093,1.05587890141965,0.192501265293645,5.48504914920423,4.13354476754728e-08,7.32141782103367e-07
"Os04g0486400",478.073979293824,0.834078197728082,0.230516415453619,3.61830282709693,0.000296541295403847,0.00202418042428744
"Os04g0486500",784.605440213355,-1.22286631201795,0.301824134234625,-4.05158558681507,5.08717106212137e-05,0.000433009366058833
"Os04g0486600",55968.1711762402,-1.33154090638491,0.243830126412759,-5.46093678404144,4.73628689848542e-08,8.31730592100892e-07
"Os04g0486800",231.614266866576,-1.34718961430285,0.392445723061997,-3.43280493361378,0.000597371715015208,0.00368579314115412
"Os04g0486950",6185.00080375152,3.71306199613898,0.448797144992328,8.27336367347537,1.30231690797471e-16,8.89638992634388e-15
"Os04g0487100",1302.79179824024,-0.617178697343985,0.218744761963821,-2.82145589134639,0.00478062112376895,0.0211618147523813
"Os04g0488600",3099.69067586474,-0.616910851397203,0.219435630485019,-2.81135224044355,0.00493337444101078,0.0217120499784805
"Os04g0490100",2071.97682729531,0.568078787034194,0.193971343118877,2.92867378191037,0.0034041148176415,0.0159964649505989
"Os04g0490500",5627.1657903812,-0.661425938991635,0.239719194089896,-2.75916970897039,0.00579484325921553,0.0248642993499834
"Os04g0490800",9177.43885150574,-1.86683803096373,0.262999126036923,-7.09826705166179,1.26330899485531e-12,4.90450337973622e-11
"Os04g0491200",899.745353976115,0.831978227888411,0.198518318326813,4.19093932943133,2.77801944052598e-05,0.000255600755275401
"Os04g0493000",1671.55913146926,0.912012820427155,0.278529064934508,3.27439012744182,0.00105890308914361,0.00602284955515881
"Os04g0493400",4893.67034114208,1.4150030866714,0.292125752950914,4.84381494057856,1.27369571439776e-06,1.61770863202873e-05
"Os04g0493600",5438.55921556157,1.40184786610189,0.298874564753556,4.69042210821057,2.72642005862266e-06,3.21654945962064e-05
"Os04g0494100",5583.75623986256,1.17142201734433,0.326738170770327,3.5852010023272,0.000336818691992561,0.00225530891529739
"Os04g0495400",2589.44509951521,-1.23334254667094,0.213613162180267,-5.77371981240618,7.75403360475061e-09,1.58705162898765e-07
"Os04g0496300",705.320445607602,-1.74125995296991,0.282033616976751,-6.1739446936691,6.66068488857562e-10,1.66112878967185e-08
"Os04g0496950",187.772669714089,2.36568436075115,0.381748129819505,6.19697694883186,5.75579266939088e-10,1.45584490719158e-08
"Os04g0497300",45.8017530842576,-1.67501901023653,0.610415202814324,-2.74406502740076,0.0060683515835086,0.025850984177913
"Os04g0500600",37.7577311116178,4.14967864146262,0.877735164879118,4.72771150969451,2.2706448613992e-06,2.72947453861263e-05
"Os04g0500700",17313.0762940688,0.668432671728245,0.161752612172234,4.13243818910634,3.58935308946145e-05,0.000320212495055161
"Os04g0501000",18349.2926068334,-0.636819727952571,0.24921264428974,-2.5553267161364,0.0106088168749076,0.0408714119037621
"Os04g0501800",2237.0658708215,-0.567796237116307,0.196878512078954,-2.8839929310752,0.00392667567567819,0.01796839254709
"Os04g0503500",279.860020578156,1.18277575674089,0.320549197775878,3.68984157485823,0.000224393750728801,0.0015910690421997
"Os04g0504200",229.020055291005,-1.64609756023592,0.36909490833911,-4.45982191313122,8.2027782931866e-06,8.68395593384915e-05
"Os04g0504700",1033.65788988771,-1.1981472219291,0.206776627581217,-5.79440353556638,6.8564419028937e-09,1.41974959990225e-07
"Os04g0505200",6043.77413663629,-0.558636446902021,0.165884159740895,-3.36762984346782,0.000758173153299234,0.00451812144844754
"Os04g0505700",2544.73682109477,0.880434279899396,0.209577128778803,4.20100363541409,2.65734323653007e-05,0.000245173187729597
"Os04g0506100",904.770137404289,0.89702018868246,0.206411795840734,4.34577968293341,1.38781813871116e-05,0.000138470760123179
"Os04g0506300",259.898486192412,-0.845401887166571,0.291639672914202,-2.89878903894973,0.00374606851067702,0.0173020041362931
"Os04g0507000",1630.59560697655,-1.12881364713333,0.33888056070011,-3.33100737558169,0.00086532309631876,0.00507973184674156
"Os04g0507100",359.317777042478,-1.27679341300906,0.293663873495172,-4.34780552954209,1.37506443287654e-05,0.000137403557808202
"Os04g0508500",535.226292397598,3.99236564997988,0.288952890303287,13.8166662592973,2.02220272647605e-43,1.22756897327671e-40
"Os04g0508800",3455.78608230024,1.17726053189765,0.18510717481605,6.35988601234689,2.01903523272439e-10,5.57111891178394e-09
"Os04g0510900",56.0655466486663,4.04676219240348,0.660527666268062,6.12655971742626,8.97995123483314e-10,2.18247950393442e-08
"Os04g0511200",8444.14577476644,4.80813825067325,0.240315198028935,20.007632850979,4.72562227234121e-89,7.42478652319022e-86
"Os04g0511700",753.047052613136,-0.721458012545172,0.276939435598471,-2.60511115358522,0.00918444587301645,0.0362733327322593
"Os04g0512300",227.174850201546,-1.64057014639741,0.330460834985957,-4.96449192373168,6.88811524014163e-07,9.28262149667927e-06
"Os04g0512400",1613.16999929797,-1.29399042793531,0.25351600305923,-5.10417651083349,3.32238063889938e-07,4.83864704825531e-06
"Os04g0513400",1226.96937789294,2.77192108260804,0.353602274817766,7.83909290186719,4.53812714905441e-15,2.4992448690978e-13
"Os04g0514400",292.043386143117,-1.09933988963301,0.317947258916425,-3.45761713241245,0.000544975276973811,0.00341536594274296
"Os04g0514600",4301.10569522702,-1.14748625192027,0.309376745986737,-3.70902553862099,0.00020805844382968,0.00148828094126694
