"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0112000",16803.0540980542,1.0552811985184,0.164054024159733,6.43252248107557,1.25503461773154e-10,3.59292332686061e-09
"Os05g0112101",99.7382941090461,0.417451347448753,0.460229496528069,0.907050396808482,0.364380147230117,0.562828558757678
"Os05g0112125",6.6149736246615,-1.40434472691698,1.46391586690608,-0.959306992064373,0.337404114002673,NA
"Os05g0112200",223.718398857733,-0.106308823862463,0.309036090222615,-0.344001322906599,0.730845291206916,0.851466634341864
"Os05g0112750",1062.17608557388,-0.275811028187743,0.192216248340528,-1.43489965374373,0.151315694400314,0.312144130169323
"Os05g0112800",151.934534970934,0.549363973737325,0.410582320967568,1.33801175959722,0.180892603403484,0.352751802358695
"Os05g0112900",122.719260332437,-1.1408761365628,0.456786550107039,-2.49761324254285,0.0125032523026104,0.0466036657832438
"Os05g0113000",6393.45187612774,-0.0691923604450148,0.230036035366616,-0.30078922345684,0.763575226525653,0.872629398446868
"Os05g0113100",18.2155550364576,0.952649829381045,1.56734529476552,0.607811075557264,0.543312782713516,0.718445686730928
"Os05g0113300",274.72059966428,0.601919163035645,0.411769316340143,1.4617873142797,0.14379950145492,0.301340395721082
"Os05g0113400",5099.40252422364,-0.673303808007098,0.19116906809835,-3.52203321753237,0.000428250479430544,0.00277516209211028
"Os05g0113500",10201.181243871,0.495504154575624,0.184571338370987,2.68462134451051,0.00726120194472376,0.0299392874256825
"Os05g0113900",1952.00886838818,-2.61604490756081,0.227611837895548,-11.493448371351,1.42315276024837e-30,3.36393010851628e-28
"Os05g0114000",471.524820284921,-1.3799447815236,0.282823840453807,-4.87916711444621,1.06534768886577e-06,1.37333189042494e-05
"Os05g0114100",28.0781745328626,0.0800905996212014,0.69762189302398,0.114805169422125,0.908599551546201,0.953200297474867
"Os05g0114400",297.896561346873,0.377441745820626,0.446032782481598,0.846219741339746,0.397430171021004,0.594695263195427
"Os05g0114500",687.200699117577,-0.401098390964877,0.34047471045849,-1.17805633911767,0.238774146530075,0.427362821729435
"Os05g0114600",1048.40822411465,-0.757646946031892,0.206724115125953,-3.66501482214724,0.00024732425883536,0.00173250221701874
"Os05g0114700",19587.6270281308,0.543011947255279,0.242521315272499,2.23902771863638,0.0251541126705074,0.081477849797387
"Os05g0115100",1222.90634014025,1.7888295725808,0.212965932810769,8.39960433563928,4.47985522577737e-17,3.28727838133279e-15
"Os05g0115200",13.4100139828514,0.587441036360978,0.981596259296939,0.598454844134928,0.54953648048231,0.723594744573946
"Os05g0115600",2.56519453307363,0.187605016301318,2.07071415109644,0.0905991858905206,0.927811078838561,NA
"Os05g0115700",1407.14482564689,0.228772211555872,0.192443321151996,1.18877709128281,0.234527395096394,0.42237386036172
"Os05g0115800",4764.41857165579,0.580410311654627,0.193008148478786,3.00718035082555,0.00263683273720436,0.0129529653975691
